# TRADING CODE LTP* HIGH LOW CLOSEP* YCP* CHANGE TRADE VALUE (mn) VOLUME	
176	DHAKABANK	10.5	10.5	10.4	10.5	10.4	0.1	99	3.4960	335,662	
177	NRBCBANK	7.2	7.3	6.9	7.2	7	0.2	144	3.3260	462,260	
178	SIMTEX	16.9	17.3	16.8	16.9	17	-0.1	214	3.2980	194,258	
179	TILIL	40	40.7	39.8	39.9	40.3	-0.3	177	3.2670	81,452	
180	MHSML	14.1	14.2	13.8	14.1	13.6	0.5	281	3.2670	234,408	
181	SALVOCHEM	22.4	22.5	22.1	22.4	22.2	0.2	213	3.2420	145,455	
182	DESCO	26.1	27.9	26.1	26.1	26.6	-0.5	274	3.1840	120,027	
183	DACCADYE	16	16.1	15.7	16	15.6	0.4	172	3.0730	192,044	
184	MPETROLEUM	206.4	206.9	205.7	206.4	206	0.4	117	3.0570	14,822	
185	AAMRANET	21.7	21.8	21.5	21.6	21.8	-0.1	138	3.0350	140,508	
186	PRIMELIFE	38.1	38.8	37.6	38.1	38.6	-0.5	119	2.9330	77,048	
187	BDTHAIFOOD	14.4	14.6	14.2	14.4	14.4	0	510	2.9000	201,321	
188	EXIMBANK	6.2	6.4	6.1	6.2	6.3	-0.1	226	2.8980	468,311	
189	EASTLAND	18.9	19	18.5	18.9	18.8	0.1	156	2.8870	153,476	
190	SANDHANINS	20	20.6	20	20	20.3	-0.3	232	2.8480	141,521	
191	SUMITPOWER	14.8	15	14.7	14.8	14.8	0	143	2.8330	191,423	
192	PHPMF1	3.3	3.4	3.3	3.3	3.3	0	109	2.8140	846,726	
193	FORTUNE	16	16.1	15.7	16	15.8	0.2	204	2.7780	173,870	
194	APEXFOODS	204	208.3	203.5	204	205.2	-1.2	187	2.7280	13,323	
195	SSSTEEL	6.9	7.1	6.9	6.9	7	-0.1	236	2.7240	391,793	
196	UPGDCL	118	119.4	117.7	118	118.4	-0.4	135	2.7210	22,989	
197	SHASHADNIM	17.8	17.9	17.6	17.8	17.8	0	154	2.6950	151,508	
198	BBS	10.5	10.8	10.4	10.5	10.7	-0.2	202	2.6480	250,391	
199	ENVOYTEX	42.8	42.8	42	42.6	42.2	0.6	61	2.6220	61,935	
200	AFTABAUTO	31	31.2	30.9	31	30.9	0.1	153	2.6030	83,847	
201	PIONEERINS	40.9	41.2	40.6	40.9	41	-0.1	169	2.5580	62,697	
202	ESQUIRENIT	21.6	22	21.3	21.4	21.8	-0.2	152	2.5540	117,806	
203	FARCHEM	23.8	23.9	23.3	23.8	23.5	0.3	161	2.5300	106,841	
204	ACIFORMULA	134.2	136.3	133.7	134.2	134.2	0	153	2.4790	18,386	
205	NAHEEACP	20.3	20.4	20.2	20.3	20.3	0	153	2.4540	120,940	
206	BNICL	39.8	40.2	39.6	39.8	39.7	0.1	194	2.4410	61,223	
207	BBSCABLES	16.4	16.8	16.3	16.4	16.8	-0.4	221	2.4330	147,851	
208	BDAUTOCA	93.2	95.8	92.8	93.2	94	-0.8	237	2.4250	25,993	
209	GENNEXT	2.9	3.1	2.9	2.9	2.9	0	196	2.4090	820,216	
210	JAMUNAOIL	175.6	177.5	175.2	175.6	175.3	0.3	144	2.3820	13,533	
211	CAPITECGBF	7.2	7.3	7.1	7.2	7.2	0	95	2.3560	327,247	
212	DUTCHBANGL	47.5	48	47.4	47.5	48	-0.5	136	2.3490	49,423	
213	SIBL	9.8	9.9	9.7	9.8	9.8	0	68	2.3300	237,797	
214	POPULAR1MF	3.4	3.5	3.3	3.4	3.4	0	116	2.3260	684,102	
215	1JANATAMF	3.5	3.5	3.3	3.4	3.3	0.2	164	2.3240	687,720	
216	NHFIL	25.3	25.9	25.2	25.3	25.3	0	154	2.2760	89,708	
217	RUPALIBANK	20.8	21.3	20.7	20.8	20.7	0.1	173	2.2720	108,474	
218	RAHIMAFOOD	78.8	80.5	78.5	78.8	79.5	-0.7	171	2.2640	28,609	
219	UNITEDFIN	12.5	12.7	12.4	12.5	12.4	0.1	103	2.2530	179,797	
220	BARKAPOWER	9.7	10	9.7	9.7	9.9	-0.2	134	2.2500	228,776	
221	QUEENSOUTH	12	12.4	11.9	12	12	0	146	2.2180	184,142	
222	COPPERTECH	18.2	18.7	18	18.2	18.5	-0.3	131	2.1830	119,064	
223	GQBALLPEN	155.7	157.8	154.9	155.7	155.7	0	103	2.1700	13,932	
224	SAIFPOWER	10	10.3	10	10	10	0	168	2.1530	214,824	
225	STYLECRAFT	54.1	55.5	53.7	54.1	55	-0.9	279	2.1400	39,244	
226	TRUSTB1MF	3.6	3.8	3.6	3.6	3.7	-0.1	49	2.1400	588,538	
227	ARAMIT	163.5	167.9	163.3	163.5	166.7	-3.2	231	2.1350	13,011	
228	PRAGATILIF	105	107.9	104.4	105.4	106.5	-1.5	155	2.0440	19,407	
229	ARGONDENIM	15.9	15.9	15.8	15.9	15.9	0	92	2.0270	127,798	
230	CITYGENINS	32.4	32.7	31.5	32.4	32.1	0.3	97	1.9960	62,239	
231	NPOLYMER	30.1	30.5	29.9	30.1	30.2	-0.1	139	1.9890	66,050	
232	KEYACOSMET	4.5	4.6	4.4	4.4	4.4	0.1	151	1.9830	448,415	
233	PARAMOUNT	38.6	39.4	38.3	38.7	38.9	-0.3	114	1.9810	51,362	
234	YPL	12.3	12.5	12.3	12.3	12.4	-0.1	99	1.9670	159,428	
235	ADVENT	15.2	15.5	15.2	15.2	15.5	-0.3	164	1.9550	127,559	
236	METROSPIN	13	13.2	13	13	13.2	-0.2	54	1.9530	149,356	
237	CENTRALINS	32.5	33.5	32.4	32.5	33.1	-0.6	101	1.9420	59,525	
238	INTECH	20.8	21.5	20.3	20.6	21.2	-0.4	142	1.8870	90,877	
239	APEXTANRY	67.9	69	67.7	67.9	68	-0.1	110	1.8840	27,726	
240	LRGLOBMF1	3.8	3.9	3.7	3.8	3.7	0.1	91	1.8500	486,676	
241	LRBDL	14.4	14.8	14.3	14.4	14.7	-0.3	129	1.8290	125,996	
242	SILCOPHL	14.7	15.3	14.7	14.7	15	-0.3	139	1.7710	118,796	
243	BSRMSTEEL	51.6	52	51.4	51.6	51.5	0.1	85	1.7410	33,724	
244	AMANFEED	24.6	25	24.3	24.6	24.8	-0.2	212	1.7220	70,135	
245	BSCPLC	123.3	124.5	122.1	123.3	124	-0.7	101	1.6990	13,800	
246	RAKCERAMIC	22.5	22.8	22.4	22.5	22.5	0	126	1.6790	74,535	
247	BENGALWTL	17.3	18.4	17.1	17.3	17.7	-0.4	618	1.6480	94,666	
248	ALARABANK	23.2	23.5	22.8	23.4	23.2	0	57	1.6390	70,686	
249	PEOPLESINS	28.8	28.9	28.4	28.8	28.5	0.3	103	1.6320	56,653	
250	SONARBAINS	24.5	24.5	23.6	24	24.3	0.2	72	1.6160	67,454	
251	MITHUNKNIT	15.9	16.2	15.7	15.9	15.8	0.1	112	1.6030	100,346	
252	PF1STMF	5.3	5.4	5.2	5.3	5.3	0	46	1.6020	302,274	
253	GRAMEENS2	13	13.1	12.9	13	13.1	-0.1	80	1.5610	120,113	
254	IDLC	30.5	31	30.3	30.5	30.3	0.2	146	1.4910	48,786	
255	PADMALIFE	23.4	23.6	23	23.4	23.1	0.3	113	1.4730	63,136	
256	FAMILYTEX	2.6	2.6	2.5	2.5	2.5	0.1	62	1.4670	585,836	
257	SHYAMPSUG	133.4	135	130	132.3	130.9	2.5	97	1.4450	11,055	
258	VAMLRBBF	5.9	6	5.5	5.9	5.8	0.1	50	1.3940	245,771	
259	SOUTHEASTB	9	9.2	9	9	9	0	53	1.3920	153,708	
260	NITOLINS	25.2	25.5	24.6	25.2	25.4	-0.2	46	1.3810	54,903	
261	ICICL	21.5	21.7	21.3	21.5	21.5	0	115	1.3800	64,273	
262	INDEXAGRO	66.3	67.1	65.3	66.1	66.1	0.2	95	1.3730	20,703	
263	PHENIXINS	25	25.5	24.5	25	24.9	0.1	104	1.3690	55,074	
264	SAMATALETH	45.3	47.6	45	45.3	45.5	-0.2	128	1.3540	29,675	
265	BPPL	10.3	10.5	10.2	10.3	10.5	-0.2	136	1.3470	130,322	
266	ALIF	6.7	6.7	6.6	6.7	6.7	0	66	1.3290	199,759	
267	DBH	35.1	35.3	34.7	35.1	35	0.1	99	1.3170	37,695	
268	RUPALIINS	21.5	21.6	21.3	21.5	21.3	0.2	109	1.3060	60,916	
269	STANDBANKL	5.7	5.8	5.6	5.7	5.7	0	61	1.2990	227,711	
270	AIBL1STIMF	7	7	6.8	7	6.8	0.2	19	1.2530	179,006	
271	NFML	9.1	9.2	8.9	9.1	9.1	0	81	1.2210	133,638	
272	BERGERPBL	1	1,785	1,765	1,784.3	1	-2	84	1.2000	676	
273	MLDYEING	8.8	9.1	8.8	8.8	8.9	-0.1	85	1.1570	130,620	
274	SINGERBD	116.9	116.9	114.1	114.6	115.4	1.5	120	1.1180	9,755	
275	ASIAINS	26.7	27.3	26.6	26.7	26.7	0	69	1.1170	41,765	
276	DULAMIACOT	75.2	81.3	75	75.9	76.8	-1.6	60	1.1160	14,615	
277	FBFIF	3.4	3.5	3.3	3.4	3.4	0	83	1.0930	324,118	
278	RINGSHINE	3.7	3.8	3.7	3.7	3.8	-0.1	98	1.0730	288,385	
279	DAFODILCOM	61.6	63.9	60.1	61.1	61.8	-0.2	95	1.0700	17,296	
280	JANATAINS	25.6	25.8	25	25.6	25.3	0.3	94	1.0640	41,897	
281	AOL	13.2	13.5	13	13.2	13.4	-0.2	106	1.0360	77,935	
282	SAIHAMTEX	13.8	13.8	13.6	13.7	13.7	0.1	50	1.0360	75,582	
283	APEXSPINN	94.2	94.5	93	94.2	93.1	1.1	101	1.0350	11,063	
284	EBLNRBMF	3.6	3.8	3.5	3.6	3.6	0	53	1.0230	282,173	
